,scales,frequency counts,bigrams,bigram counts,trigrams,trigram counts,y,A,A#,B,C,C#,D,D#,E,F,F#,G,G#
0,"['F', 'C#', 'G#', 'C', 'F#', 'D#', 'B']","[0.0030257186081694403, 0.030257186081694403, 0.03479576399394856, 0.09228441754916793, 0.2481089258698941, 0.0, 0.07261724659606657, 0.007564296520423601, 0.291981845688351, 0.07715582450832073, 0.019667170953101363, 0.12254160363086233]","[('F', 'E'), ('E', 'C'), ('C', 'B'), ('C', 'A'), ('G', 'E')]","[36, 24, 17, 15, 15]","[('F', 'E', 'C'), ('E', 'F', 'E'), ('E', 'C', 'A'), ('C', 'A', 'G'), ('C', 'B', 'D')]","[20, 14, 10, 7, 7]",Bilawal Dheerashankarabharanam,0,0,1,1,0,1,0,0,1,0,1,0
1,"['F', 'C', 'G', 'E', 'A#', 'C#', 'G#']","[0.01361573373676248, 0.07413010590015129, 0.025718608169440244, 0.19213313161875945, 0.039334341906202726, 0.028744326777609682, 0.019667170953101363, 0.14826021180030258, 0.24205748865355523, 0.02723146747352496, 0.15279878971255673, 0.036308623298033284]","[('E', 'F'), ('C', 'E'), ('F', 'E'), ('F', 'C'), ('G', 'E')]","[29, 20, 20, 19, 18]","[('E', 'F', 'E'), ('C', 'E', 'F'), ('E', 'F', 'G'), ('E', 'G', 'F'), ('F', 'E', 'F')]","[11, 11, 9, 8, 7]",Bilawal Dheerashankarabharanam,1,0,0,1,0,0,0,1,1,0,1,0
2,"['C', 'E', 'F', 'G', 'A#', 'C#', 'D#']","[0.02723146747352496, 0.06505295007564296, 0.009077155824508321, 0.34795763993948564, 0.0453857791225416, 0.0226928895612708, 0.03328290468986384, 0.16944024205748864, 0.1649016641452345, 0.01361573373676248, 0.07564296520423601, 0.025718608169440244]","[('G', 'C'), ('C', 'G'), ('C', 'E'), ('E', 'C'), ('D', 'C')]","[26, 22, 18, 15, 11]","[('C', 'G', 'C'), ('E', 'G', 'C'), ('C', 'D', 'C'), ('G', 'C', 'G'), ('C', 'G', 'E')]","[8, 7, 6, 6, 6]",Bilawal Dheerashankarabharanam,1,0,0,1,0,1,0,1,1,0,1,0
3,"['F', 'C', 'G', 'A#', 'E', 'B', 'G#']","[0.02118003025718608, 0.12102874432677761, 0.06505295007564296, 0.17246596066565809, 0.030257186081694403, 0.025718608169440244, 0.03177004538577912, 0.09833585476550681, 0.19213313161875945, 0.03328290468986384, 0.16338880484114976, 0.0453857791225416]","[('G', 'F'), ('G', 'E'), ('F', 'G'), ('E', 'F'), ('F', 'E')]","[20, 17, 17, 17, 17]","[('F', 'G', 'F'), ('G', 'F', 'E'), ('B', 'G', 'B'), ('G', 'E', 'F'), ('C', 'A', 'G')]","[10, 10, 7, 7, 7]",Bilawal Dheerashankarabharanam,1,0,1,1,0,0,0,1,1,0,1,0
4,"['C', 'G', 'E', 'F', 'A', 'B', 'D']","[0.10050251256281408, 0.02512562814070352, 0.06197654941373534, 0.27638190954773867, 0.0, 0.03350083752093802, 0.005025125628140704, 0.18090452261306533, 0.10050251256281408, 0.0033500837520938024, 0.20435510887772193, 0.008375209380234505]","[('G', 'C'), ('E', 'G'), ('G', 'E'), ('C', 'G'), ('C', 'E')]","[27, 26, 25, 24, 21]","[('E', 'G', 'C'), ('G', 'E', 'G'), ('G', 'C', 'G'), ('C', 'G', 'E'), ('C', 'E', 'G')]","[12, 11, 11, 10, 9]",Bilawal Dheerashankarabharanam,1,0,1,1,0,1,0,1,1,0,1,0
5,"['E', 'C', 'G', 'B', 'F', 'D', 'D#']","[0.015128593040847202, 0.019667170953101363, 0.08623298033282904, 0.22087745839636913, 0.01664145234493192, 0.04236006051437216, 0.03328290468986384, 0.3464447806354009, 0.06959152798789713, 0.01664145234493192, 0.13010590015128592, 0.0030257186081694403]","[('E', 'C'), ('G', 'C'), ('F', 'E'), ('C', 'E'), ('C', 'G')]","[21, 18, 18, 17, 17]","[('E', 'C', 'E'), ('C', 'G', 'C'), ('G', 'C', 'G'), ('C', 'B', 'C'), ('B', 'C', 'B')]","[10, 9, 8, 8, 7]",Bilawal Dheerashankarabharanam,0,0,1,1,0,1,0,1,1,0,1,0
6,"['E', 'F', 'A', 'G', 'D', 'A#', 'B']","[0.13313161875945537, 0.09228441754916793, 0.08169440242057488, 0.07261724659606657, 0.0015128593040847202, 0.09228441754916793, 0.030257186081694403, 0.19667170953101362, 0.15582450832072617, 0.0030257186081694403, 0.12859304084720122, 0.012102874432677761]","[('F', 'E'), ('A#', 'A'), ('E', 'F'), ('D', 'G'), ('G', 'E')]","[23, 20, 18, 14, 14]","[('F', 'E', 'F'), ('E', 'F', 'E'), ('A#', 'A', 'D'), ('A', 'F', 'E'), ('G', 'E', 'A')]","[8, 7, 6, 6, 6]",Khamaj Harikambhoji,1,0,1,0,0,1,0,1,1,0,1,0
7,"['E', 'F', 'A', 'G', 'B', 'C', 'A#']","[0.14674735249621784, 0.07261724659606657, 0.10287443267776097, 0.08169440242057488, 0.0030257186081694403, 0.06202723146747353, 0.07110438729198185, 0.1573373676248109, 0.15279878971255673, 0.0, 0.14069591527987896, 0.009077155824508321]","[('A#', 'A'), ('F', 'E'), ('E', 'F'), ('A', 'G'), ('A', 'F')]","[23, 22, 17, 15, 14]","[('A#', 'A', 'G'), ('B', 'A#', 'A'), ('A', 'F', 'E'), ('D', 'F', 'E'), ('F', 'E', 'G')]","[11, 8, 8, 5, 5]",Khamaj Harikambhoji,1,0,1,1,0,0,0,1,1,0,1,0
8,"['C', 'E', 'G', 'A', 'B', 'F', 'D']","[0.09228441754916793, 0.024205748865355523, 0.0832072617246596, 0.40998487140695916, 0.0, 0.028744326777609682, 0.007564296520423601, 0.14674735249621784, 0.07564296520423601, 0.02723146747352496, 0.09682299546142209, 0.007564296520423601]","[('A#', 'A'), ('E', 'G'), ('B', 'F'), ('G', 'F'), ('G', 'E')]","[11, 8, 6, 6, 5]","[('A', 'B', 'F'), ('A#', 'A', 'B'), ('F', 'D#', 'E'), ('A#', 'A', 'D'), ('F', 'A#', 'A')]","[3, 3, 3, 3, 3]",Khamaj Harikambhoji,1,0,1,1,0,1,0,1,1,0,1,0
9,"['C', 'E', 'A', 'D', 'G', 'B', 'A#']","[0.10136157337367625, 0.05597579425113464, 0.07110438729198185, 0.36459909228441756, 0.006051437216338881, 0.09379727685325265, 0.024205748865355523, 0.12859304084720122, 0.039334341906202726, 0.02723146747352496, 0.07413010590015129, 0.01361573373676248]","[('B', 'C'), ('E', 'F'), ('C', 'B'), ('C', 'E'), ('C', 'A')]","[22, 13, 13, 12, 11]","[('C', 'B', 'C'), ('B', 'C', 'B'), ('B', 'C', 'A#'), ('E', 'C', 'E'), ('C', 'E', 'F')]","[11, 8, 5, 5, 5]",Khamaj Harikambhoji,1,0,1,1,0,1,0,1,0,0,1,0
